"id","latlng","typeroute","adresse","commune","codepostal","hdebut","hfin","saufjour","services","carburants","activite"
"13410001","43.6486726687,5.26522765138","R","2 AVENUE LEO LAGRANGE","LAMBESC","13410","01:00","01:00",,"Automate CB|Vente de gaz domestique","E10|Gazole|SP95","O"
"13370003","43.73069,5.16906","R","Avenue de Craponne","Mallemort","13370","01:00","01:00",,"Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Restauration à emporter|Automate CB|Vente de gaz domestique|Location de véhicule|Vente de pétrole lampant","E10|Gazole|SP95","O"
"13127009","43.43087,5.26517","R","Quartier du Griffon","Vitrolles","13127","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Lavage haute-pression|Lavage multi-programmes|Piste poids lourds|Restauration à emporter|Restauration sur place|Station de gonflage|Station de lavage|Vente de fioul domestique|Vente de gaz domestique","E10|Gazole|SP98","O"
"13300001","43.63141,5.10073","R","666 Boulevard Roy René","Salon-de-Provence","13300","06:00","20:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de fioul domestique|GPL|Carburant qualité supérieure|Lavage multi-programmes|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds","E10|Gazole|SP98|GPLc","O"
"13122001","43.54117,5.27115","R","RES.VAL LOURDES","Ventabren","13122","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de fioul domestique|GPL|Carburant qualité supérieure|Lavage multi-programmes|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds","E10|Gazole|SP98","O"
"13200002","43.6695013704,4.62213493747","R","N°1 AVENUE  BACHAGA SAID BOUALEM","ARLES","13200","06:00","22:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|GPL|Carburant qualité supérieure|Lavage multi-programmes|Station de gonflage|Piste poids lourds|Toilettes publiques|Vente de gaz domestique","E10|Gazole|SP98|GPLc","O"
"13300005","43.64139,5.09743","R","Vieille Route Pélissanne","Salon-de-Provence","13300","01:00","01:00",,"Automate CB|Station de lavage|Lavage multi-programmes|Lavage haute-pression|Piste poids lourds|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Vente de pétrole lampant","E10|Gazole|SP98|SP95","O"
"13370005","43.7271262038,5.15975148694","R","Rond point de douneau RN7","MALLEMORT","13370","07:30","19:00","Dimanche","Automate CB|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Vente de fioul domestique|Station de gonflage|Piste poids lourds","Gazole|SP98|SP95","O"
"13120002","43.4681949404,5.46782343457","R","CD 6 - Quartier Payannet","GARDANNE","13120","06:30","20:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Lavage multi-programmes|Station de gonflage|Baie de service auto|Piste poids lourds|Vente de gaz domestique","E10|Gazole|SP98","O"
"13140005","43.6001833497,5.00217243795","R","Avenue du 8 Mai 1945","MIRAMAS","13140","01:00","01:00",,"Automate CB|Vente de gaz domestique|Station de lavage|Lavage haute-pression|Vente de pétrole lampant","E10|Gazole|E85|SP98","O"
"13210002","43.79319,4.8272","R","N°11 Impasse de la 1er DFL  ZAC de la Gare","Saint-Rémy-de-Provence","13210","01:00","01:00",,"Lavage multi-programmes|Location de véhicule|Automate CB|Vente de gaz domestique|Station de lavage|Lavage haute-pression|Piste poids lourds|Station de gonflage","E10|Gazole|SP98|SP95","O"
"13200001","43.6510755014,4.67285545973","R","RN 113 DEVIATION","ARLES","13200","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|GPL|Carburant qualité supérieure|Station de gonflage|Piste poids lourds|Toilettes publiques|Douches|Espace bébé / change","E10|Gazole|SP98|GPLc","O"
"13170007","43.4114701602,5.31354858452","R","970 D113 N","Les Pennes-Mirabeau","13170","01:00","01:00",,"Automate CB|Vente de gaz domestique|Carburant qualité supérieure|Lavage multi-programmes|Piste poids lourds","Gazole|SP98|SP95","O"
"13127002","43.44566,5.247","R","BD VICTOR GELU","Vitrolles","13127","06:00","20:00",,"Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|GPL|Carburant qualité supérieure|Station de lavage|Lavage multi-programmes|Station de gonflage|Baie de service auto","","O"
"13270005","43.46484,4.94014","R","Avenue Georges Pompidou","Fos-sur-Mer","13270","01:00","01:00",,"Automate CB|Vente de gaz domestique|Vente de fioul domestique|Station de lavage|Lavage haute-pression","E10|Gazole|SP98","O"
"13127004","43.42063,5.26826","R","AV. D'ITALIE","VITROLLES","13127","05:00","23:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de fioul domestique|GPL|Carburant qualité supérieure|Station de lavage|Lavage multi-programmes|Lavage haute-pression|Station de gonflage","E10|Gazole|SP98|GPLc","O"
"13160004","43.87931,4.84977","R","AVENUE DELATTRE DE TASSIGNY","Châteaurenard","13160","01:00","01:00",,"Automate CB|Vente de gaz domestique|Vente de pétrole lampant","Gazole|SP98|SP95","O"
"13140002","43.593176236,5.0043125134","R","route de salon","Miramas","13140","06:30","20:00",,"Toilettes publiques|Boutique alimentaire|Vente de gaz domestique|Carburant qualité supérieure|GPL|Station de gonflage|Station de lavage|Lavage haute-pression|Baie de service auto|Piste poids lourds","Gazole|E85|SP95","O"
"13400007","43.29432,5.55969","R","550 Avenue Antide Boyer","Aubagne","13400","01:00","01:00",,,"E10|Gazole|SP98","O"
