Address;Cars;Bluecar counter;Utilib counter;Utilib 1.4 counter;Charge Slots;Charging Status;City;Displayed comment;ID;Kind;Geo point;Postal code;Public name;Rental status;Scheduled at;Slots;Station type;Status;Subscription status
2 rue Mayet;3;3;0;0;0;broken;Paris;;paris-mayet-2;STATION;48.8473691, 2.3182091;75006;Paris/Mayet/2;operational;;1;station;ok;nonexistent
49 avenue de l'Arche;6;6;0;0;0;nonexistent;Courbevoie;;courbevoie-arche-49;STATION;48.897827, 2.23817;92400;Courbevoie/Arche/49;operational;;0;station;ok;nonexistent
7 rue d'Alexandrie;3;3;0;1;0;nonexistent;Paris;;paris-alexandrie-7;STATION;48.8680082, 2.3508835;75002;Paris/Alexandrie/7;operational;;0;station;ok;nonexistent
162 rue de la Roquette;3;3;0;0;1;operational;Paris;;paris-roquette-162;STATION;48.8586443, 2.3841089;75011;Paris/Roquette/162;operational;;2;station;ok;nonexistent
36 rue Saint-Maur;2;2;0;0;0;nonexistent;Paris;;paris-saintmaur-36;STATION;48.8615346, 2.3809277;75011;Paris/Saint-Maur/36;operational;;2;station;ok;nonexistent
8 rue Goubet;4;4;0;0;0;operational;Paris;;paris-goubet-8;STATION;48.8848179, 2.3901243;75019;Paris/Goubet/8;operational;;1;station;ok;nonexistent
1 rue de l’égalité;0;0;0;0;0;nonexistent;Issy-les-Moulineaux;;issylesmoulineaux-bachagaboualam-1;STATION;48.8194698, 2.2653073;92130;Issy-les-Moulineaux/Bachaga Boualam/1;future;2012-09-17T08:57:28;0;station;scheduled;nonexistent
2 rue du Charolais;1;1;0;0;1;operational;Paris;;paris-charolais-2;STATION;48.839191, 2.3878529;75012;Paris/Charolais/2;operational;;5;station;ok;nonexistent
15 rue Olier;0;0;0;1;1;operational;Paris;;paris-olier-15;STATION;48.8351985, 2.2914295;75015;Paris/Olier/15;operational;;2;station;ok;nonexistent
40 rue de Meudon;5;5;0;0;0;nonexistent;Boulogne-Billancourt;;boulognebillancourt-meudon-40;STATION;48.8281027, 2.2422542;92100;Boulogne-Billancourt/Meudon/40;operational;;1;station;ok;nonexistent
35 quai Alphonse Le Gallo;6;6;0;0;0;nonexistent;Boulogne-Billancourt;;boulognebillancourt-alphonselegallo-35;STATION;48.83545, 2.225633;92100;Boulogne-Billancourt/Alphonse Le Gallo/35;operational;;0;station;ok;nonexistent
6 place Abel Gance;0;0;0;0;0;nonexistent;Boulogne-Billancourt;;boulognebillancourt-abelgance-6;STATION;48.833663, 2.258714;92100;Boulogne-Billancourt/Abel Gance/6;operational;;0;station;ok;nonexistent
13 rue Malher;0;0;0;0;0;nonexistent;Paris;;paris-malher-13;STATION;48.85648, 2.361378;75004;Paris/Malher/13;operational;;4;station;ok;nonexistent
83 boulevard Flandrin;0;0;0;2;1;operational;Paris;;paris-flandrin-83;STATION;48.87031, 2.275537;75016;Paris/Flandrin/83;operational;;4;station;ok;nonexistent
265 rue de Belleville;0;0;0;0;2;operational;Paris;;paris-belleville-265;STATION;48.87559, 2.399738;75020;Paris/Belleville/265;operational;;5;station;ok;nonexistent
3 rue Jeanne Braconnier;5;5;0;0;0;nonexistent;Meudon-la-Forêt;;meudon-jeannebraconnier-3;STATION;48.7886841, 2.2114032;92360;Meudon/Jeanne Braconnier/3;operational;;0;station;ok;nonexistent
1 rue Pierre Brossolette;3;3;0;0;1;operational;Paris;;paris-pierrebrossolette-1;STATION;48.84196, 2.347262;75005;Paris/Pierre Brossolette/1;operational;;2;station;ok;nonexistent
47 boulevard de l'Hôpital;0;0;0;0;0;operational;Paris;;paris-hopital-47;STATION;48.84019, 2.362478;75013;Paris/Hôpital/47;operational;;0;station;ok;nonexistent
15 rue de Rocroy;3;3;0;0;0;operational;Paris;;paris-rocroy-15;STATION;48.8801236, 2.3509617;75010;Paris/Rocroy/15;operational;;0;station;ok;nonexistent
8 rue de Rome;4;4;0;0;0;nonexistent;Rosny-sous-Bois;;rosnysousbois-rome-8;STATION;48.876218, 2.475338;93110;Rosny-sous-Bois/Rome/8;operational;;0;station;ok;nonexistent
28 rue Édouard Vaillant;0;0;0;0;0;nonexistent;Saint-Ouen;;saintouen-edouardvaillant-28;STATION;48.9018633, 2.3341342;93400;Saint-Ouen/Édouard Vaillant/28;operational;;6;station;ok;nonexistent
16 rue de Lisbonne;4;4;0;0;0;nonexistent;Rosny-sous-Bois;;rosnysousbois-lisbonne-16;STATION;48.88093, 2.472356;93110;Rosny-sous-Bois/Lisbonne/16;operational;;2;station;ok;nonexistent
155 bis rue de Rennes;0;0;0;0;0;nonexistent;Paris;Station en parking (niv -2), accès 155 rue de Rennes;paris-rennesmontparnasse-parking;PARKING;48.84513, 2.32524;75006;Paris/Rennes Montparnasse/Parking;broken;;0;station;closed;nonexistent
61 avenue du Général De Gaulle;1;1;0;1;0;nonexistent;Créteil;;creteil-degaulle-61;STATION;48.78759, 2.446772;94000;Créteil/De Gaulle/61;operational;;3;station;ok;nonexistent
29 rue d'Alsace;0;0;0;0;0;nonexistent;Levallois-Perret;Station en parking (niv -3), accès 32 rue d’Alsace;levalloisperret-soouest-parking;PARKING;48.89333, 2.29897;92300;Levallois-Perret/So'Ouest/Parking;operational;;6;station;ok;nonexistent
2 rue Pétrarque;0;0;1;0;1;operational;Paris;;paris-petrarque-2;STATION;48.8612923, 2.28423;75016;Paris/Pétrarque/2;operational;;2;station;ok;nonexistent
33 rue Ernest Cognacq;0;0;0;0;0;nonexistent;Levallois-Perret;Station en parking (niv -1), accès 33 rue Ernest Cognacq;levalloisperret-andrecitroen-parking;PARKING;48.89711, 2.27609;92300;Levallois-Perret/André Citroën/Parking;operational;;0;station;ok;nonexistent
37 rue du Président Wilson;0;0;0;0;0;nonexistent;Levallois-Perret;Station en parking (niv -1), accès 37 rue Wilson;levalloisperret-wilsonbarbusse-parking;PARKING;48.89159, 2.29073;92300;Levallois-Perret/Wilson-Barbusse/Parking;operational;;0;station;ok;nonexistent
141 rue Lecourbe;2;2;0;0;0;nonexistent;Paris;Station en parking (niv -1), accès 141 rue Lecourbe;paris-lecourbemairieduxveme-parking;PARKING;48.84161, 2.29953;75015;Paris/Lecourbe Mairie du XVème/Parking;operational;;4;station;ok;nonexistent
37 rue Leblanc;0;0;0;0;0;nonexistent;Paris;Station en parking (niv -1), accès 37 rue Leblanc;paris-citroencevennes-parking;PARKING;48.83874, 2.27641;75015;Paris/Citroën Cévennes/Parking;broken;;0;station;closed;nonexistent
2 avenue Gabriel;0;0;0;0;0;nonexistent;Paris;Station en parking (niv -2), accès 2 avenue Gabriel;paris-concorde-parking;PARKING;48.86691, 2.32033;75008;Paris/Concorde/Parking;broken;;0;station;closed;nonexistent
252 bis rue Saint-Martin;0;0;0;1;0;nonexistent;Paris;;paris-saintmartin-parking;PARKING;48.86585, 2.35361;75003;Paris/Saint-Martin/Parking;operational;;5;station;ok;nonexistent
25 rue Constantine;2;2;0;1;1;operational;Paris;;paris-constantine-25;STATION;48.8587263, 2.314834;75007;Paris/Constantine/25;operational;;3;station;ok;nonexistent
273 rue du Ménil;1;1;0;0;0;nonexistent;Asnières-sur-Seine;;asnieressurseine-menil-273;STATION;48.92582, 2.274079;92600;Asnières-sur-Seine/Ménil/273;operational;;5;station;ok;nonexistent
17 Place de la République;0;0;0;0;0;nonexistent;Paris;;paris-republique-17;STATION;48.8674504, 2.3630074;75003;Paris/République/17;operational;;4;station;ok;nonexistent
12 bis Route de la Reine;4;4;0;0;0;nonexistent;Boulogne-Billancourt;;boulognebillancourt-reine-12;STATION;48.8388074, 2.2505008;92100;Boulogne-Billancourt/Reine/12;operational;;0;station;ok;nonexistent
2 Boulevard de la Paix;0;0;0;0;0;nonexistent;Courbevoie;;courbevoie-paix-2;STATION;48.90076, 2.261656;92400;Courbevoie/Paix/2;operational;;5;station;ok;nonexistent
6 Rue Marcel Paul;2;2;0;0;0;nonexistent;Villejuif;;villejuif-marcelpaul-6;STATION;48.8003, 2.356283;94800;Villejuif/Marcel Paul/6;operational;;4;station;ok;nonexistent
7 Rue Pruvot;0;0;0;0;0;nonexistent;Vanves;;vanves-pruvot-7;STATION;48.82249, 2.284264;92170;Vanves/Pruvot/7;broken;;0;station;closed;nonexistent
11 Rue Auguste Perret;3;3;0;0;0;nonexistent;Villejuif;;villejuif-augusteperret-11;STATION;48.787963, 2.3512833;94800;Villejuif/Auguste Perret/11;operational;;3;station;ok;nonexistent
42 Rue Victor Hugo;4;4;0;0;0;nonexistent;Colombes;;colombes-victorhugo-42;STATION;48.92087, 2.264111;92700;Colombes/Victor Hugo/42;operational;;2;station;ok;nonexistent
84 Rue Cartier Bresson;0;0;0;0;0;nonexistent;Pantin;;pantin-cartierbresson-84;STATION;48.9017998, 2.4012521;93500;Pantin/Cartier Bresson/84;operational;;4;station;ok;nonexistent
86 Rue du Lieutenant Colonel de Montbrison;5;5;0;0;0;nonexistent;Rueil-Malmaison;;rueilmalmaison-lieutenantcoloneldemontbrison-86;STATION;48.86318, 2.197042;92500;Rueil-Malmaison/Lieutenant Colonel de Montbrison/86;operational;;1;station;ok;nonexistent
17 Avenue de Colmar;5;5;0;0;0;nonexistent;Rueil-Malmaison;;rueilmalmaison-colmar-17;STATION;48.8871, 2.181057;92500;Rueil-Malmaison/Colmar/17;operational;;0;station;ok;nonexistent
5 rue Emile Zola;0;0;0;0;0;nonexistent;Limeil-Brévannes;;limeilbrevannes-emilezola-5;STATION;48.7486341, 2.4788056;94450;Limeil-Brévannes/Emile Zola/5;broken;;0;station;closed;nonexistent
38 ter rue du Mont Valérien;4;4;0;0;0;operational;Saint-Cloud;;saintcloud-montvalerien-38;STATION;48.8569103, 2.2152544;92210;Saint-Cloud/Mont Valérien/38;operational;;1;station;ok;nonexistent
12 Avenue André Prothin;4;4;0;1;0;nonexistent;Courbevoie;;courbevoie-andreprothin-12;SPACE;48.89238, 2.245286;92400;Courbevoie/André Prothin/12;operational;;0;full_station;ok;operational
77 avenue Pierre Brossolette;3;3;0;0;0;nonexistent;Créteil;;creteil-pierrebrossolette-77;STATION;48.7896323, 2.4649966;94000;Créteil/Pierre Brossolette/77;operational;;3;station;ok;nonexistent
200 rue Raymond Poincaré;5;5;1;0;1;operational;Yerres;;yerres-raymondpoincare-200;STATION;48.72139, 2.499938;91330;Yerres/Raymond Poincaré/200;operational;;1;station;ok;nonexistent
46 rue de Rome;1;1;0;0;1;operational;Paris;;paris-rome-46;STATION;48.8783912, 2.3225683;75008;Paris/Rome/46;operational;;3;station;ok;nonexistent
12 rue Armengaud;3;3;0;0;0;operational;Saint-Cloud;;saintcloud-armengaud-12;STATION;48.84652, 2.216632;92220;Saint-Cloud/Armengaud/12;operational;;0;station;ok;nonexistent
53 rue Henri Poincaré;5;5;0;0;0;nonexistent;Asnières-sur-Seine;;asnieressurseine-henripoincare-53;STATION;48.93068, 2.281273;92600;Asnières-sur-Seine/Henri Poincaré/53;operational;;0;station;ok;nonexistent
6 avenue Charles-de-Gaulle;5;5;0;0;0;nonexistent;Le Plessis-Robinson;;leplessisrobinson-charlesdegaulle-6;STATION;48.781849, 2.263931;92350;Le Plessis-Robinson/Charles-de-Gaulle/6;operational;;1;station;ok;nonexistent
51 avenue Aristide Briand;2;2;0;0;0;nonexistent;Le Plessis-Robinson;;leplessisrobinson-aristidebriand-51;STATION;48.779984, 2.25945;92350;Le Plessis-Robinson/Aristide Briand/51;operational;;2;station;ok;nonexistent
1 avenue Hoche;5;5;0;0;0;nonexistent;Nanterre;;nanterre-hoche-1;STATION;48.899865, 2.200758;92000;Nanterre/Hoche/1;operational;;2;station;ok;nonexistent
73 boulevard Diderot;1;1;0;1;0;nonexistent;Paris;;paris-diderot-73;STATION;48.8473293, 2.3856322;75012;Paris/Diderot/73;operational;;2;station;ok;nonexistent
66 rue de la Jonquière;1;1;0;0;0;operational;Paris;;paris-jonquiere-66;STATION;48.8941653, 2.3211581;75017;Paris/Jonquière/66;operational;;5;station;ok;nonexistent
1 rue de Chanaleilles;0;0;0;0;0;operational;Paris;;paris-chanaleilles-1;STATION;48.8530403, 2.3190123;75007;Paris/Chanaleilles/1;operational;;5;station;ok;nonexistent
2 rue du Général Renault;2;2;0;0;0;nonexistent;Paris;;paris-renault-2;STATION;48.8611413, 2.3781941;75011;Paris/Renault/2;operational;;4;station;ok;nonexistent
2 rue Marie-Andrée Lagroua Weil-Halle;2;2;0;0;0;nonexistent;Paris;;paris-marieandreelagrouaweilhalle-2;STATION;48.8276393, 2.3810867;75013;Paris/Marie-Andrée Lagroua Weil-Halle/2;operational;;1;station;ok;nonexistent
1 rue Croulebarbe;3;3;0;0;0;operational;Paris;;paris-croulebarbe-1;STATION;48.8345242, 2.353056;75013;Paris/Croulebarbe/1;operational;;2;station;ok;nonexistent
24 rue des Frigos;2;2;0;0;1;operational;Paris;;paris-frigos-24;STATION;48.83171, 2.379246;75013;Paris/Frigos/24;operational;;3;station;ok;nonexistent
1 rue Jean Sicard;2;2;0;0;1;operational;Paris;;paris-jeansicard-1;STATION;48.8287264, 2.2989061;75015;Paris/Jean Sicard/1;operational;;2;station;ok;nonexistent
44 rue Sébastien Mercier;3;3;0;0;0;nonexistent;Paris;;paris-sebastienmercier-44;STATION;48.8439105, 2.2796928;75015;Paris/Sébastien Mercier/44;operational;;2;station;ok;nonexistent
22 Voie au Lard;3;3;0;0;0;nonexistent;Rungis;;rungis-lard-22;STATION;48.75017, 2.347478;94150;Rungis/Lard/22;operational;;2;station;ok;nonexistent
43 avenue Robert Schuman;1;1;0;1;0;operational;Rungis;;rungis-robertschuman-43;STATION;48.7459296, 2.3546196;94150;Rungis/Robert Schuman/43;operational;;2;station;ok;nonexistent
2 rue de la Coussaye;5;5;0;0;0;nonexistent;Enghien-les-Bains;;enghienlesbains-coussaye-2;STATION;48.966392, 2.3016471;95880;Enghien-les-Bains/Coussaye/2;operational;;1;station;ok;nonexistent
4 rue Bicheret;3;3;1;0;0;nonexistent;Argenteuil;;argenteuil-bicheret-4;STATION;48.9465353, 2.2561063;95100;Argenteuil/Bicheret/4;operational;;1;station;ok;nonexistent
66 boulevard Rodin;6;6;0;0;0;nonexistent;Issy-les-Moulineaux;;issylesmoulineaux-rodin-66;STATION;48.8189324, 2.258027;92130;Issy-les-Moulineaux/Rodin/66;operational;;0;station;ok;nonexistent
Quai de Sèvres;6;6;0;0;0;nonexistent;Sèvres;;sevres-manufacturenationale-1;PARKING;48.82829, 2.22518;92310;Sèvres/Manufacture Nationale/1;operational;;0;station;ok;nonexistent
2 rue des Couronnes;0;0;0;0;0;nonexistent;Paris;;paris-couronnes-2;STATION;48.8691502, 2.3808934;75020;Paris/Couronnes/2;operational;;3;station;ok;nonexistent
5 rue Frédérick Lemaître;1;1;0;1;0;operational;Paris;;paris-fredericklemaitre-5;STATION;48.8736473, 2.3911798;75020;Paris/Frédérick Lemaître/5;operational;;4;station;ok;nonexistent
50 rue Emile Zola;6;6;0;0;0;nonexistent;Bezons;;bezons-emilezola-50;STATION;48.9237996, 2.2092127;95870;Bezons/Emile Zola/50;operational;;0;station;ok;nonexistent
9 Avenue Paul Signac;1;1;0;0;0;nonexistent;Montreuil;;montreuil-paulsignac-9;STATION;48.86833, 2.45224261;93100;Montreuil/Paul Signac/9;operational;;5;station;ok;nonexistent
30 rue Marcel Bontemps;0;0;0;2;0;nonexistent;Boulogne-Billancourt;;boulognebillancourt-marcelbontemps-30;STATION;48.8261171, 2.2407124;92100;Boulogne-Billancourt/Marcel Bontemps/30;operational;;0;station;ok;nonexistent
2 rue Paul Cézanne;2;2;0;1;0;nonexistent;Neuilly-Plaisance;;neuillyplaisance-paulcezanne-2;SPACE;48.85206, 2.514694;93360;Neuilly-Plaisance/Paul Cézanne/2;operational;;0;full_station;ok;broken
115 avenue de Malakoff;4;4;0;0;0;nonexistent;Paris;;paris-malakoff-115;STATION;48.8735, 2.284304;75016;Paris/Malakoff/115;operational;;2;station;ok;nonexistent
14 rue Censier;0;0;0;0;1;operational;Paris;;paris-censier-14;STATION;48.8411067, 2.3544235;75005;Paris/Censier/14;operational;;4;station;ok;nonexistent
98 rue de Turenne;0;0;1;0;1;operational;Paris;;paris-turenne-98;STATION;48.8623505, 2.3648513;75003;Paris/Turenne/98;operational;;4;station;ok;nonexistent
